#python metaPathwayMap/scripts/metaPathwayMap.py -pwy static/databases/PlantCyc/pathways.dat.cid.all -canopus static/tmp/anthocyanin_canopus_summary_filtered.tsv -jaccard 0.7 -log static/tmp/log2.out
#ExptID	CANOPUS_MostSpecific	MetaboliteMatch	Jaccard	MetabolitesPathway
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7140|31966	0.854839	PWY-5268|salvianin_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-16541|29560	0.828125	PWY-7679|anthocyanidin_acylglucoside_and_acylsambubioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-16541|29560	0.828125	PWY-7450|anthocyanidin_modification_(<i>Arabidopsis</i>)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-15000|71499	0.828125	PWY-7449|acylated_cyanidin_galactoside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7142|32115	0.796875	PWY-5268|salvianin_biosynthesis	Component-6
0_11_scan13273_scans13273-1	Anthocyanidin-3-O-glycosides	CPD-7140|31966	0.852459	PWY-5268|salvianin_biosynthesis	Component-6
0_11_scan13273_scans13273-1	Anthocyanidin-3-O-glycosides	CPD-16541|29560	0.796875	PWY-7679|anthocyanidin_acylglucoside_and_acylsambubioside_biosynthesis	Component-6
0_11_scan13273_scans13273-1	Anthocyanidin-3-O-glycosides	CPD-16541|29560	0.796875	PWY-7450|anthocyanidin_modification_(<i>Arabidopsis</i>)	Component-6
0_11_scan13273_scans13273-1	Anthocyanidin-3-O-glycosides	CPD-15000|71499	0.796875	PWY-7449|acylated_cyanidin_galactoside_biosynthesis	Component-6
0_11_scan13273_scans13273-1	Anthocyanidin-3-O-glycosides	CPD-7142|32115	0.793651	PWY-5268|salvianin_biosynthesis	Component-6
0_12_scan12605_scans12605-1	Anthocyanidin-3-O-glycosides	CPD-16540|72696	0.785714	PWY-7450|anthocyanidin_modification_(<i>Arabidopsis</i>)	Component-6
0_12_scan12605_scans12605-1	Anthocyanidin-3-O-glycosides	CPD-7140|31966	0.731343	PWY-5268|salvianin_biosynthesis	Component-6
0_13_scan12602_scans12602-1	Anthocyanidin-3-O-glycosides	CPD-16540|72696	0.736111	PWY-7450|anthocyanidin_modification_(<i>Arabidopsis</i>)	Component-6
0_13_scan12602_scans12602-1	Anthocyanidin-3-O-glycosides	CPD-7140|31966	0.731343	PWY-5268|salvianin_biosynthesis	Component-6
